,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,Fecha de Verificacion,Número de PERMISO otorgado por la CRE,Número de Estacion,Razón Social,ESTADO,MUNCIPIO,TOTAL DE INSTUMENTOS (MANGUERAS) VERIFICADOS,TOTAL DE INSTUMENTOS (MANGUERAS) INMOVILIZADOS,CAUSAS DE INMOVILIZACION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dirección,Colonia,Código Postal,
3807,6/15/23,PL/20814/EXP/ES/2018,13531,"SÚPER SERVICIO NAUMEX, S. A. DE C. V.",MORELOS,CUERNAVACA,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SÚPER SERVICIO NAUMEX, S. A. DE C. V.",HACIENDA TETELA,62163,
3808,6/15/23,PL/13052/EXP/ES/2016,7501,"GASOLINERA GRUPO DEL RIO, S. A. DE C. V.",ZACATECAS,VILLANUEVA,10,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GASOLINERA GRUPO DEL RIO, S. A. DE C. V.",TAYAHUA,99560,
3809,6/15/23,PL/3601/EXP/ES/2015,4987,ÓSCAR MEDINA JIMÉNEZ,ZACATECAS,TABASCO,10,4,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ÓSCAR MEDINA JIMÉNEZ,LA CAPILLA,99630,
3810,6/15/23,PL/5291/EXP/ES/2015,8853,"MULTISERVICIOS DUAL, S. A. DE C. V.",MEXICO,OCOYOACAC,24,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MULTISERVICIOS DUAL, S. A. DE C. V.",SAN ANTONIO EL LLANITO,52740,
3811,6/15/23,PL/8002/EXP/ES/2015,10205,"SERVICIOS GASOLINEROS DE MÉXICO, S. A. DE C. V.",MEXICO,OCOYOACAC,20,1,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"SERVICIOS GASOLINEROS DE MÉXICO, S. A. DE C. V.",OCOYOACAC,52740,
3812,6/16/23,PL/9460/EXP/ES/2015,5757,"SERVICIOS FUYIVARA, S. A. DE C. V.",COAHUILA DE ZARAGOZA,SALTILLO,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SERVICIOS FUYIVARA, S. A. DE C. V.",COLINAS DE SAN FRANCISCO,25057,
3813,6/16/23,PL/5255/EXP/ES/2015,2251,MIGUEL DAINITIN TALAMAS,COAHUILA DE ZARAGOZA,SALTILLO,28,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIGUEL DAINITIN TALAMAS,CENTRO,25000,
3814,6/16/23,PL/11359/EXP/ES/2015,9388,"KILO REFINADOS, S. A. DE C. V.",COAHUILA DE ZARAGOZA,SALTILLO,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KILO REFINADOS, S. A. DE C. V.",GUANAJUATO,25280,
3815,6/17/23,PL/5257/EXP/ES/2015,4500,MIGUEL DAINITIN TALAMAS,COAHUILA DE ZARAGOZA,SALTILLO,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIGUEL DAINITIN TALAMAS,SAN PATRICIO,25204,
3816,6/17/23,PL/4818/EXP/ES/2015,2247,SÚPER COMERCIAL AZTECA S. DE R. L. DE C. V.,COAHUILA DE ZARAGOZA,SALTILLO,28,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SÚPER COMERCIAL AZTECA S. DE R. L. DE C. V.,VILLA OLIMPICA,25230,
3817,6/18/23,PL/6507/EXP/ES/2015,8965,"COMBUSTIBLES Y LUBRICANTES SALDIVAR, S. DE R. L. DE C. V.",COAHUILA DE ZARAGOZA,CASTAÑOS,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"COMBUSTIBLES Y LUBRICANTES SALDIVAR, S. DE R. L. DE C. V.",LIBERTAD,25870,
3818,6/18/23,PL/3766/EXP/ES/2015,4121,"AUTO SERVICIO COAHUILA, S. A. DE C. V.",COAHUILA DE ZARAGOZA,MONCLOVA,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AUTO SERVICIO COAHUILA, S. A. DE C. V.",ASTURIAS,25790,
3819,6/16/23,PL/7035/EXP/ES/2015,8523,"GASOLINERA SEGURA FLORES, S. DE R. L. DE C. V.",DURANGO,LERDO,10,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GASOLINERA SEGURA FLORES, S. DE R. L. DE C. V.",EJIDO 6 DE ENERO,35181,
3820,6/16/23,PL/12805/EXP/ES/2015,4392,"SERVICIO TRES HERMANAS, S. A. DE C. V.",DURANGO,GÓMEZ PALACIO,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SERVICIO TRES HERMANAS, S. A. DE C. V.",CENTRO,35000,
3821,6/16/23,PL/3940/EXP/ES/2015,7124,"COMBUSTIBLES MURPA, S. A. DE C. V.",DURANGO,GÓMEZ PALACIO,14,1,0,0,1,39.75,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"COMBUSTIBLES MURPA, S. A. DE C. V.",CENTRO,35000,
3822,6/17/23,PL/3142/EXP/ES/2015,1479,"GASOLINERA SACRAMENTO, S. A.",DURANGO,GÓMEZ PALACIO,28,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GASOLINERA SACRAMENTO, S. A.",SIN COLONIA,35110,
3823,6/18/23,PL/12673/EXP/ES/2015,12680,"SERVICIOS GASOLINEROS DE MÉXICO, S. A. DE C. V.",DURANGO,GÓMEZ PALACIO,15,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SERVICIOS GASOLINEROS DE MÉXICO, S. A. DE C. V.",PARQUE INDUSTRIAL GOMEZ PALACIO,35077,
3824,6/18/23,PL/831/EXP/ES/2015,4837,"ARY SÚPER SERVICIOS III, S. A. DE C. V.",COAHUILA DE ZARAGOZA,TORREÓN,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ARY SÚPER SERVICIOS III, S. A. DE C. V.",CENTRO,27000,
3825,6/16/23,PL/7499/EXP/ES/2015,11117,"PETRO CUMBRES, S. A. DE C. V.",TAMAULIPAS,REYNOSA,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PETRO CUMBRES, S. A. DE C. V.",LAS CUMBRES,88740,
3826,6/16/23,PL/7815/EXP/ES/2015,11130,"GASOLINAS Y DERIVADOS DE TAMAULIPAS, S. A. DE C. V.",TAMAULIPAS,REYNOSA,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GASOLINAS Y DERIVADOS DE TAMAULIPAS, S. A. DE C. V.",HACIENDA LAS FUENTES,88655,
3827,6/16/23,PL/511/EXP/ES/2015,5850,"PETROMAX, S. A. DE C. V.",TAMAULIPAS,REYNOSA,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PETROMAX, S. A. DE C. V.",GRANJAS ECONOMICAS DEL NORTETAMAULIPAS.,88730,
3828,6/18/23,PL/468/EXP/ES/2015,6178,"PETROMAX, S. A. DE C. V.",TAMAULIPAS,REYNOSA,8,1,0,0,1,8.55,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PETROMAX, S. A. DE C. V.",JACINTO LÓPEZ,88756,
3829,6/16/23,PL/2408/EXP/ES/2015,8330,"COMERCIALIZADORA NANDALUMI, S. A. DE C. V.",CHIAPAS,TUXTLA GUTIÉRREZ,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"COMERCIALIZADORA NANDALUMI, S. A. DE C. V.",SANTA ELENA,29010,
3830,6/16/23,PL/19314/EXP/ES/2016,13044,JUAN ÓSCAR LIEVANO NARVAEZ,CHIAPAS,TUXTLA GUTIÉRREZ,22,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JUAN ÓSCAR LIEVANO NARVAEZ,COQUELEXQUITZAN,29090,
3831,6/16/23,PL/3688/EXP/ES/2015,5381,"OPERADORA DE COMBUTIBLES DE CHIAPAS, S. A. DE C. V.",CHIAPAS,TUXTLA GUTIÉRREZ,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OPERADORA DE COMBUTIBLES DE CHIAPAS, S. A. DE C. V.",BENITO JUAREZ,29080,
3832,6/17/23,PL/674/EXP/ES/2015,6032,"COMERCIALIZADORA DE COMBUSTIBLES DE CHIAPAS, S. A. DE C. V.",CHIAPAS,IXTAPA,14,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"COMERCIALIZADORA DE COMBUSTIBLES DE CHIAPAS, S. A. DE C. V.",BARRIO CANADA,29340,
3833,6/17/23,PL/1889/EXP/ES/2015,8643,"OPERADORA DE COMBUSTIBLES SAN LUIS, S. A. DE C. V.",CHIAPAS,TUXTLA GUTIÉRREZ,18,6,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"OPERADORA DE COMBUSTIBLES SAN LUIS, S. A. DE C. V.",FRACCIONAMIENTO ARAMONI,29056,
3834,6/18/23,PL/4099/EXP/ES/2015,8314,SARAIN EZEQUIEL VELASCO AGUILAR,CHIAPAS,JITOTOL,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SARAIN EZEQUIEL VELASCO AGUILAR,EMILIANO ZAPATA,29760,
3835,6/16/23,PL/7918/EXP/ES/2015,7277,"PETRO MILENIUM, S. A. DE C. V.",SINALOA,CULIACÁN,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PETRO MILENIUM, S. A. DE C. V.",TRES RIOS,80020,
3836,6/16/23,PL/4953/EXP/ES/2015,9671,"SERVICIO EXPRESS LA CONQUISTA, S. A. DE C. V.",SINALOA,CULIACÁN,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SERVICIO EXPRESS LA CONQUISTA, S. A. DE C. V.",EJIDO HUMAYA,80058,
3837,6/16/23,PL/9517/EXP/ES/2015,12101,"SERVICIOS USE, S. A. DE C. V.",SINALOA,CULIACÁN,24,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SERVICIOS USE, S. A. DE C. V.",COUNTRY TRES RIOS,80107,
3838,6/17/23,PL/4521/EXP/ES/2015,9084,"EMERALD GAS, S. A. DE C. V.",SINALOA,NAVOLATO,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EMERALD GAS, S. A. DE C. V.",PRIMAVERA II,80370,
3839,6/17/23,PL/2206/EXP/ES/2015,6675,"GENERAL DE COMBUSTIBLES, S. A. DE C. V.",SINALOA,NAVOLATO,22,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GENERAL DE COMBUSTIBLES, S. A. DE C. V.",OTE. NAVOLATO,80323,
3840,6/18/23,PL/7377/EXP/ES/2015,3788,"KAIL SERVICIOS, S. A. DE C. V.",SINALOA,NAVOLATO,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KAIL SERVICIOS, S. A. DE C. V.",SIN COLONIA,80370,
3841,6/18/23,PL/19867/EXP/ES/2017,13066,"SERVICIOS COSTA VELEROS, S. A. DE C. V.",SINALOA,NAVOLATO,2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SERVICIOS COSTA VELEROS, S. A. DE C. V.",ALTATA,80363,
3842,6/16/23,PL/12854/EXP/ES/2015,1450,"SUMINISTROS AUTOMOTRICES VAZTER, S. A. DE C. V.",DURANGO,SANTIAGO PAPASQUIARO,6,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SUMINISTROS AUTOMOTRICES VAZTER, S. A. DE C. V.",ALTAMIRA,34600,
3843,6/16/23,PL/9570/EXP/ES/2015,1427,"COMBUSTIBLES DE TEPEHUANES, S. A. DE C. V.",DURANGO,TEPEHUANES,10,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"COMBUSTIBLES DE TEPEHUANES, S. A. DE C. V.",PANTEON,35600,
3844,6/16/23,PL/4723/EXP/ES/2015,10500,"DISTRIBUIDORA VICTORIA DE LOS LLANOS, S. A. DE C. V",DURANGO,GUADALUPE VICTORIA,16,4,0,0,0,0.00,0.00,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DISTRIBUIDORA VICTORIA DE LOS LLANOS, S. A. DE C. V",CENTRO,34700,
3845,6/17/23,PL/13418/EXP/ES/2016,4609,MA. TERESA AYALA ALEMAN,DURANGO,GUANACEVÍ,10,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MA. TERESA AYALA ALEMAN,S/C,35400,
3846,6/17/23,PL/13365/EXP/ES/2016,7165,"SÚPER SERVICIO SIERRA TEPEHUANES, S. A. DE C. V.",DURANGO,TEPEHUANES,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SÚPER SERVICIO SIERRA TEPEHUANES, S. A. DE C. V.",S/C,35600,
3847,6/18/23,PL/11324/EXP/ES/2015,6824,FRANCISCA MUÑOZ TARANGO,DURANGO,EL ORO,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FRANCISCA MUÑOZ TARANGO,CENTRO,35660,
3848,6/18/23,PL/3447/EXP/ES/2015,4897,BARBARA CARRETE RINCON,DURANGO,EL ORO,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BARBARA CARRETE RINCON,CENTRO,35660,
3849,6/16/23,PL/5628/EXP/ES/2015,12303,"ESTACIONES DE SERVICIO AUTO, S. A. DE C. V.",TABASCO,CUNDUACÁN,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ESTACIONES DE SERVICIO AUTO, S. A. DE C. V.",SIN COLONIA,0,
3850,6/16/23,PL/8268/EXP/ES/2015,8745,"HIDROSINA PLUS, S. A. P. I. DE C. V.",TABASCO,CÁRDENAS,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HIDROSINA PLUS, S. A. P. I. DE C. V.",RANCHERIA PASO Y PLAZA CARDENAS,86540,
3851,6/16/23,PL/8356/EXP/ES/2015,6363,"SERVICIO SAMARÍA, S. A. DE C. V.",TABASCO,CÁRDENAS,22,1,0,0,0,0.00,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SERVICIO SAMARÍA, S. A. DE C. V.",CENTRO,86500,
3852,6/17/23,PL/12061/EXP/ES/2015,5384,"REGIO ONCE, S. A. DE C. V.",TABASCO,HUIMANGUILLO,10,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REGIO ONCE, S. A. DE C. V.",CHICOACAN,86430,
3853,6/17/23,PL/10962/EXP/ES/2015,10538,"SERVICIO PLAYA DEL MAR, S. A. DE C. V.",VERACRUZ DE IGNACIO DE LA LLAVE,COATZACOALCOS,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SERVICIO PLAYA DEL MAR, S. A. DE C. V.",GUADALUPE VICTORIA,96520,
3854,6/18/23,PL/6195/EXP/ES/2015,8971,"SERVICIO OTEAPAN, S. A. DE C. V.",VERACRUZ DE IGNACIO DE LA LLAVE,COATZACOALCOS,24,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SERVICIO OTEAPAN, S. A. DE C. V.",FRACC. PARAISO,96535,
3855,6/16/23,PL/3746/EXP/ES/2015,7538,"ERGOPE, S. A. DE C. V.",QUERÉTARO,QUERÉTARO,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ERGOPE, S. A. DE C. V.",LOMAS DE SAN PEDRITO PEÑUELAS,76125,
3856,6/16/23,PL/2494/EXP/ES/2015,11751,"OLEUM, S. A. DE C. V.",QUERÉTARO,QUERÉTARO,24,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OLEUM, S. A. DE C. V.",DESARROLLO CENTRO NORTE,76118,
3857,6/16/23,PL/9166/EXP/ES/2015,12347,"COMERCIALIZADORA GUIPTON, S. A. DE C. V.",QUERÉTARO,QUERÉTARO,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"COMERCIALIZADORA GUIPTON, S. A. DE C. V.",FRACCIONAMIENTO LOS CIPRESES,76125,
3858,6/18/23,PL/2420/EXP/ES/2015,11577,"OLEUM, S. A. DE C. V.",QUERÉTARO,QUERÉTARO,24,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OLEUM, S. A. DE C. V.",DON MANUEL,76114,
3859,6/18/23,PL/20617/EXP/ES/2017,SN,"SERVICIO FEGOGAS, S. A. DE C. V.",QUERÉTARO,QUERÉTARO,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SERVICIO FEGOGAS, S. A. DE C. V.",CIUDAD SATÉLITE,76110,
3860,6/16/23,PL/5883/EXP/ES/2015,5518,FRANCISCO PADILLA ORTIZ,CIUDAD DE MÉXICO,BENITO JUÁREZ,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FRANCISCO PADILLA ORTIZ,NARVARTE,3020,
3861,6/16/23,PL/6696/EXP/ES/2015,69,"CONSORCIO GASOLINERO PLUS, S. A. DE C. V.",CIUDAD DE MÉXICO,BENITO JUÁREZ,28,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CONSORCIO GASOLINERO PLUS, S. A. DE C. V.",DEL VALLE,3100,
3862,6/16/23,PL/9673/EXP/ES/2015,16,"SERVICIOS SIMPA, S. A. DE C. V.",CIUDAD DE MÉXICO,BENITO JUÁREZ,16,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SERVICIOS SIMPA, S. A. DE C. V.",NARVARTE ,3100,
3863,6/17/23,PL/9493/EXP/ES/2015,9023,MARÍA LYDIA CASTILLO MIRANDA,MEXICO,COCOTITLÁN,8,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARÍA LYDIA CASTILLO MIRANDA,SAN ANDRES METLA,56680,
3864,6/17/23,PL/9396/EXP/ES/2015,10878,"PROYECTO LOS VOLCANES, S. A. DE C. V.",MEXICO,CHALCO,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PROYECTO LOS VOLCANES, S. A. DE C. V.",LA CANDELARIA TLAPALA,56641,
3865,6/18/23,PL/7740/EXP/ES/2015,8921,"INMOBILIARIA TERMINAL DE CARGA ORIENTE, S. A. DE C. V.",CIUDAD DE MÉXICO,IZTAPALAPA,28,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"INMOBILIARIA TERMINAL DE CARGA ORIENTE, S. A. DE C. V.",ALVARO OBREGON,9230,
3866,6/18/23,PL/2600/EXP/ES/2015,4484,"SÚPER SERVICIO PERIFÉRICO, S. A. DE C. V.",CIUDAD DE MÉXICO,IZTAPALAPA,28,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SÚPER SERVICIO PERIFÉRICO, S. A. DE C. V.",UNIDAD JUAREZ,9209,
3867,6/16/23,PL/7614/EXP/ES/2015,11564,"HIDROCARBUROS DE TONALÁ, S. A. DE C. V.",JALISCO,TONALÁ,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HIDROCARBUROS DE TONALÁ, S. A. DE C. V.",FRANCISCO VILLA,45412,
3868,6/16/23,PL/960/EXP/ES/2015,3901,"COMBU-EXPRESS, S. A. DE C. V.",JALISCO,TONALÁ,34,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"COMBU-EXPRESS, S. A. DE C. V.",CD AZTLÁN,45410,
3869,6/16/23,PL/1326/EXP/ES/2015,4292,"SERVICIO SAN PEDRITO, S. A. DE C. V.",JALISCO,TLAQUEPAQUE,32,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SERVICIO SAN PEDRITO, S. A. DE C. V.",SAN PEDRITO TLAQUEPAQUE,45625,
3870,6/17/23,PL/5450/EXP/ES/2015,10856,"SERVICIO MATATLÁN, S. A. DE C. V.",JALISCO,TONALÁ,14,7,0,0,0,0.00,0.00,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"SERVICIO MATATLÁN, S. A. DE C. V.",URBI PASEO DE SANTIAGO,45404,
3871,6/17/23,PL/6076/EXP/ES/2015,9683,"GASOLINERA BELIARJO, S. A. DE C. V.",JALISCO,TONALÁ,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GASOLINERA BELIARJO, S. A. DE C. V.",COYULA,45405,
3872,6/18/23,PL/4819/EXP/ES/2015,3342,"GASOLINERA GIGANTES, S. A. DE C. V.",JALISCO,GUADALAJARA,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GASOLINERA GIGANTES, S. A. DE C. V.",SAN ANDRES,44810,
3873,6/18/23,PL/19819/EXP/ES/2016,13031,"ESTACIÓN LA 74, S. A. DE C. V.",JALISCO,GUADALAJARA,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ESTACIÓN LA 74, S. A. DE C. V.",ZONA OLIMPICA,44840,
3874,6/16/23,PL/8225/EXP/ES/2015,1960,JESÚS GARIBAY ESPINOZA,BAJA CALIFORNIA,MEXICALI,6,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JESÚS GARIBAY ESPINOZA,ALGODONES,21840,
3875,6/16/23,PL/10034/EXP/ES/2015,1871,"ESTACIÓN DE SERVICIOS EL CAPITÁN, S. A. DE C. V.",BAJA CALIFORNIA,MEXICALI,6,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ESTACIÓN DE SERVICIOS EL CAPITÁN, S. A. DE C. V.",CUERVOS,21960,
3876,6/16/23,PL/8246/EXP/ES/2015,1958,RIGOBERTO MAGAÑA MAGAÑA,BAJA CALIFORNIA,MEXICALI,2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIGOBERTO MAGAÑA MAGAÑA,CIUDAD MORELOS,21960,
3877,6/17/23,PL/5592/EXP/ES/2015,6067,"SOL DEL COLORADO, S. A. DE C. V.",SONORA,SAN LUIS RÍO COLORADO,16,3,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,"SOL DEL COLORADO, S. A. DE C. V.",CUAUHTEMOC,83400,
3878,6/17/23,PL/2280/EXP/ES/2015,1942,"DAGAL, S. A. DE C. V.",BAJA CALIFORNIA,MEXICALI,18,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DAGAL, S. A. DE C. V.",POBLADO CIUDAD MORELOS,21960,
3879,6/18/23,PL/3947/EXP/ES/2015,1819,"LUBRICANTES Y GASOLINAS, S. A. DE C. V.",SONORA,SAN LUIS RÍO COLORADO,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LUBRICANTES Y GASOLINAS, S. A. DE C. V.",LA MESA,83420,
3880,6/18/23,PL/3177/EXP/ES/2015,1978,"LUBRICANTES Y GASOLINAS, S. A. DE C. V.",SONORA,SAN LUIS RÍO COLORADO,12,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LUBRICANTES Y GASOLINAS, S. A. DE C. V.",SIN COLONIA,83449,
3881,6/16/23,PL/19254/EXP/ES/2016,13082,"ABASTECIMIENTO MEXIQUENSE DE CALIDAD, S. A. DE C. V.",MEXICO,AXAPUSCO,20,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ABASTECIMIENTO MEXIQUENSE DE CALIDAD, S. A. DE C. V.",AXAPUSCO,55940,
